,Date,Address,Species,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
0,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41.0, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9.0,1.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
2,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41.0, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9.0,1.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
4,2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,62.0, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9.0,1.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
6,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79.0, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8.0,1.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
8,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79.0, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8.0,4.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
10,2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15.0, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8.0,2.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
12,2007-05-29,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25.0, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8.0,1.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
14,2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11.0, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8.0,1.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
16,2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11.0, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8.0,2.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
18,2007-05-29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11.0, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8.0,1.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
20,2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,21.0, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8.0,1.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
22,2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,22.0, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8.0,2.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
24,2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,22.0, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8.0,3.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
26,2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22.0, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8.0,1.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
28,2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22.0, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8.0,1.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
30,2007-05-29,"1100 South Peoria Street, Chicago, IL 60608, USA",CULEX RESTUANS,11.0, S PEORIA ST,T091,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8.0,1.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
32,2007-05-29,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX RESTUANS,17.0, W 95TH ST,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9.0,3.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
34,2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22.0, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8.0,5.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
36,2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22.0, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8.0,1.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
38,2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",CULEX PIPIENS/RESTUANS,53.0, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5.0,1.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
40,2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",CULEX RESTUANS,53.0, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5.0,2.0,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5
