Date,Latitude,Longitude,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,Depart,DewPoint,Heat,Cool,Sunrise,Sunset,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
5/29/2007,41.95469,-87.800991,1,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.95469,-87.800991,1,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.994991,-87.769279,1,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.974089,-87.824812,1,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.974089,-87.824812,4,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.9216,-87.666455,2,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.891118,-87.654491,1,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.867108,-87.654224,1,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.867108,-87.654224,2,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.896282,-87.655232,1,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.919343,-87.694259,1,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.921965,-87.632085,2,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.921965,-87.632085,3,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.688324,-87.676709,1,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.688324,-87.676709,1,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.862292,-87.64886,1,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.720848,-87.666014,3,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.731922,-87.677512,5,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.731922,-87.677512,1,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.891126,-87.61156,1,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.891126,-87.61156,2,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.999129,-87.795585,1,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,42.01743,-87.687769,1,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.907645,-87.760886,1,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
5/29/2007,41.732984,-87.649642,1,0,88,60,74,10,58,0,9,421,1917,30.11,5.8,18,6.5
6/5/2007,41.95469,-87.800991,3,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.95469,-87.800991,5,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.95469,-87.800991,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.974089,-87.824812,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.974089,-87.824812,2,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.9216,-87.666455,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.9216,-87.666455,2,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.9216,-87.666455,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.891118,-87.654491,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.867108,-87.654224,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.867108,-87.654224,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.867108,-87.654224,2,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.896282,-87.655232,2,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.919343,-87.694259,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.919343,-87.694259,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.921965,-87.632085,3,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.688324,-87.676709,4,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.720848,-87.666014,2,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.731922,-87.677512,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.731922,-87.677512,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.731922,-87.677512,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.999129,-87.795585,2,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.999129,-87.795585,9,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.907645,-87.760886,3,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.732984,-87.649642,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.981964,-87.812827,2,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.944869,-87.832763,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,42.011601,-87.811506,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.94983,-87.698457,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.979243,-87.750938,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.986921,-87.689778,2,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.801498,-87.763416,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.906638,-87.701431,3,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.723195,-87.64997,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.868077,-87.666901,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.868077,-87.666901,7,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.869216,-87.627561,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.662014,-87.724608,2,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.662014,-87.724608,4,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.662014,-87.724608,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.961743,-87.76007,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.961743,-87.76007,2,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.953067,-87.776792,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.953067,-87.776792,3,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.878114,-87.629798,3,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.958271,-87.702575,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.958271,-87.702575,2,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.932094,-87.700117,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.994469,-87.667736,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,42.006858,-87.675919,2,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.916265,-87.800515,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.916265,-87.800515,10,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.846075,-87.716277,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
6/5/2007,41.918705,-87.752329,1,0,64,47,56,-9,48,9,0,417,1923,29.79,5.2,5,7.6
